week;price
KW1/2015;1,3
KW2/2015;1,37
KW3/2015;1,39
KW4/2015;1,4
KW5/2015;1,25
KW6/2015;1,31
KW7/2015;1,39
KW8/2015;1,36
KW9/2015;1,31
KW10/2015;1,36
KW11/2015;1,39
KW12/2015;1,35
KW13/2015;1,4
KW14/2015;1,41
KW15/2015;1,36
KW16/2015;1,37
KW17/2015;1,39
KW18/2015;1,28
KW19/2015;1,32
KW20/2015;1,35
KW21/2015;1,38
KW22/2015;1,38
KW23/2015;1,38
KW24/2015;1,4
KW25/2015;1,41
KW26/2015;1,41
KW27/2015;1,41
KW28/2015;1,42
KW29/2015;1,39
KW30/2015;1,42
KW31/2015;1,48
KW32/2015;1,43
KW33/2015;1,45
KW34/2015;1,44
KW35/2015;1,42
KW36/2015;1,43
KW37/2015;1,46
KW38/2015;1,45
KW39/2015;1,45
KW40/2015;1,42
KW41/2015;1,37
KW42/2015;1,39
KW43/2015;1,38
KW44/2015;1,3
KW45/2015;1,33
KW46/2015;1,34
KW47/2015;1,33
KW48/2015;1,34
KW49/2015;1,29
KW50/2015;1,29
KW51/2015;1,35
KW52/2015;1,3
KW53/2016;1,21
KW1/2016;1,23
KW2/2016;1,27
KW3/2016;1,24
KW4/2016;1,25
KW5/2016;1,17
KW6/2016;1,23
KW7/2016;1,28
KW8/2016;1,27
KW9/2016;1,26
KW10/2016;1,2
KW11/2016;1,2
KW12/2016;1,25
KW13/2016;1,24
KW14/2016;1,17
KW15/2016;1,22
KW16/2016;1,19
KW17/2016;1,16
KW18/2016;1,15
KW19/2016;1,22
KW20/2016;1,22
KW21/2016;1,25
KW22/2016;1,24
KW23/2016;1,3
KW24/2016;1,28
KW25/2016;1,31
KW26/2016;1,29
KW27/2016;1,35
KW28/2016;1,43
KW29/2016;1,48
KW30/2016;1,45
KW31/2016;1,42
KW32/2016;1,42
KW33/2016;1,42
KW34/2016;1,39
KW35/2016;1,37
KW36/2016;1,36
KW37/2016;1,45
KW38/2016;1,53
KW39/2016;1,58
KW40/2016;1,48
KW41/2016;1,48
KW42/2016;1,54
KW43/2016;1,7
KW44/2016;1,62
KW45/2016;1,58
KW46/2016;1,5
KW47/2016;1,5
KW48/2016;1,37
KW49/2016;1,31
KW50/2016;1,28
KW51/2016;1,31
KW52/2017;1,28
KW1/2017;1,29
KW2/2017;1,32
KW3/2017;1,22
KW4/2017;1,27
KW5/2017;1,14
KW6/2017;1,2
KW7/2017;1,27
KW8/2017;1,24
KW9/2017;1,29
KW10/2017;1,44
KW11/2017;1,47
KW12/2017;1,4
KW13/2017;1,45
KW14/2017;1,47
KW15/2017;1,5
KW16/2017;1,54
KW17/2017;1,55
KW18/2017;1,46
KW19/2017;1,53
KW20/2017;1,56
KW21/2017;1,58
KW22/2017;1,56
KW23/2017;1,52
KW24/2017;1,54
KW25/2017;1,56
KW26/2017;1,57
KW27/2017;1,54
KW28/2017;1,58
KW29/2017;1,56
KW30/2017;1,57
KW31/2017;1,61
KW32/2017;1,64
KW33/2017;1,74
KW34/2017;1,81
KW35/2017;1,86
KW36/2017;1,84
KW37/2017;1,83
KW38/2017;1,83
KW39/2017;1,87
KW40/2017;1,84
KW41/2017;1,78
KW42/2017;1,66
KW43/2017;1,6
KW44/2017;1,56
KW45/2017;1,51
KW46/2017;1,5
KW47/2017;1,5
KW48/2017;1,39
KW49/2017;1,34
KW50/2017;1,37
KW51/2017;1,44
KW52/2017;1,28
KW1/2018;1,36
KW2/2018;1,42
KW3/2018;1,38
KW4/2018;1,39
KW5/2018;1,23
KW6/2018;1,31
KW7/2018;1,37
KW8/2018;1,36
KW9/2018;1,35
KW10/2018;1,34
KW11/2018;1,31
KW12/2018;1,35
